id,Best,Worst,Average
0,7316,7940,7650
1,7316,7934,7592
2,7316,8026,7557
3,7316,7930,7505
4,7316,7764,7423
5,7274,7550,7346
6,7268,7596,7331
7,7262,7630,7319
8,7238,7598,7297
9,7226,7544,7293
10,7216,7562,7272
11,7156,7608,7284
12,7156,7470,7245
13,7146,7480,7239
14,7146,7516,7225
15,7136,7462,7178
16,7136,7510,7153
17,7136,7516,7171
18,7136,7602,7178
19,7118,7554,7172
20,7118,7534,7160
21,7108,7316,7138
22,7108,7546,7158
23,7100,7750,7140
24,7096,7490,7144
25,7096,7456,7139
26,7090,7494,7130
27,7090,7452,7121
28,7082,7400,7115
29,7076,7466,7115
30,7066,7428,7117
31,7038,7568,7121
32,7022,7500,7103
33,7022,7408,7105
34,7006,7430,7076
35,7004,7436,7065
36,7004,7412,7048
37,7004,7346,7025
38,6996,7396,7029
39,6960,7438,7045
40,6960,7392,7022
41,6958,7434,7021
42,6958,7332,7010
43,6958,7422,7004
44,6958,7424,6992
45,6954,7312,6987
46,6954,7476,6990
47,6954,7312,6972
48,6954,7318,6982
49,6954,7222,6965
50,6954,7570,6987
51,6954,7368,6968
52,6954,7434,6991
53,6954,7412,6996
54,6954,7314,6981
55,6954,7468,6977
56,6946,7374,6974
57,6946,7646,6998
58,6946,7412,6971
59,6946,7274,6976
60,6946,7246,6968
61,6946,7478,6967
62,6946,7398,6970
63,6946,7342,6978
64,6946,7384,6991
65,6946,7460,6975
66,6946,7386,6975
67,6934,7366,6975
68,6930,7296,6973
69,6930,7460,6977
70,6930,7410,6974
71,6930,7280,6956
72,6930,7404,6963
73,6930,7428,6952
74,6930,7354,6979
75,6930,7394,6964
76,6930,7324,6954
77,6930,7410,6961
78,6930,7354,6974
79,6930,7366,6969
80,6930,7320,6950
81,6930,7284,6951
82,6930,7428,6967
83,6930,7332,6962
84,6930,7428,6975
85,6930,7230,6960
86,6930,7300,6959
87,6930,7280,6961
88,6930,7254,6943
89,6930,7300,6962
90,6930,7326,6960
91,6930,7328,6957
92,6930,7484,6962
93,6930,7388,6955
94,6930,7392,6955
95,6930,7314,6963
96,6930,7294,6965
97,6930,7362,6948
98,6930,7410,6954
99,6930,7230,6945
